"player","team","year","war","g","pa","ab","r","h","x2b","x3b","hr","rbi","sb","cs","bb","so","ba","obp","slg","ops","ops_plus","r_oba","rbat","tb","gidp","hbp","sh","sf","ibb","pos","awards","war_to_2","g_to_2","pa_to_2","ab_to_2","r_to_2","h_to_2","x2b_to_2","x3b_to_2","hr_to_2","rbi_to_2","sb_to_2","cs_to_2","bb_to_2","so_to_2","ba_to_2","obp_to_2","slg_to_2","ops_to_2","ops_plus_to_2","r_oba_to_2","rbat_to_2","tb_to_2","gidp_to_2","hbp_to_2","sh_to_2","sf_to_2","ibb_to_2","dummy_team_change","position","age","years_contract","contract_value","average_annual_contract_value","years_experience","id_contract"
"Aj Pierzynski","2TM","2014",-0.7,102,362,338,25,85,12,1,5,37,0,1,14,54,0.251,0.288,0.337,0.625,75,0.28,67,114,13,5,1,4,2,"2H/D",0,-0.7,102,362,338,25,85,12,1,5,37,0,1,14,54,0.251,0.288,0.337,0.625,75,0.28,67,114,13,5,1,4,2,1,NA,37.6,1,4375000,4375000,13.1,62
"Aj Pierzynski","ATL","2015",1.3,113,436,407,38,122,24,1,9,49,0,2,19,37,0.3,0.339,0.43,0.769,112,0.342,115,175,19,7,0,3,2,"2/HD",0,1.3,113,436,407,38,122,24,1,9,49,0,2,19,37,0.3,0.339,0.43,0.769,112,0.342,115,175,19,7,0,3,2,1,NA,38.6,1,2000000,2000000,14.1,63
"Aj Pierzynski","ATL","2016",-1.4,81,259,247,15,54,15,0,2,23,1,0,6,29,0.219,0.243,0.304,0.547,46,0.245,37,75,13,3,0,3,1,"2H",0,-1.4,81,259,247,15,54,15,0,2,23,1,0,6,29,0.219,0.243,0.304,0.547,46,0.245,37,75,13,3,0,3,1,0,NA,39.6,1,3000000,3000000,15.1,64
"Aj Pollock","LAD","2019",0,86,342,308,49,82,15,1,15,47,5,1,23,74,0.266,0.327,0.468,0.795,107,0.338,104,144,7,7,0,4,1,"87/HD",0,0,86,342,308,49,82,15,1,15,47,5,1,23,74,0.266,0.327,0.468,0.795,107,0.338,104,144,7,7,0,4,1,1,"LF",31.7,5,60000000,12000000,6.052,65
"Aj Pollock","LAD","2020",0.8,55,210,196,30,54,9,0,16,34,2,2,12,45,0.276,0.314,0.566,0.881,132,0.364,127,111,6,0,0,2,1,"78D/H",0,0.8,55,210,196,30,54,9,0,16,34,2,2,12,45,0.276,0.314,0.566,0.881,132,0.364,127,111,6,0,0,2,1,1,"LF",32.7,5,60000000,12000000,7.052,65
"Aj Pollock","LAD","2021",3,117,422,384,53,114,27,1,21,69,9,1,30,80,0.297,0.355,0.536,0.892,134,0.383,133,206,4,6,0,2,4,"7H/8",0,3,117,422,384,53,114,27,1,21,69,9,1,30,80,0.297,0.355,0.536,0.892,134,0.383,133,206,4,6,0,2,4,1,"LF",33.7,5,60000000,12000000,8.052,65
"Aj Pollock","CHW","2022",0.4,138,527,489,61,120,26,1,14,56,3,1,32,98,0.245,0.292,0.389,0.681,92,0.302,90,190,13,2,0,4,0,"789/H",0,0.4,138,527,489,61,120,26,1,14,56,3,1,32,98,0.245,0.292,0.389,0.681,92,0.302,90,190,13,2,0,4,0,1,"LF",34.7,5,60000000,12000000,9.052,65
"Aj Pollock","2TM","2023",-0.7,54,144,133,15,22,4,0,5,15,0,1,9,32,0.165,0.215,0.308,0.524,47,0.233,48,41,1,0,0,2,0,"7DH/89",0,-0.7,54,144,133,15,22,4,0,5,15,0,1,9,32,0.165,0.215,0.308,0.524,47,0.233,48,41,1,0,0,2,0,1,"LF",35.7,5,60000000,12000000,10.052,65
"Aj Pollock","2TM","2023",-0.7,54,144,133,15,22,4,0,5,15,0,1,9,32,0.165,0.215,0.308,0.524,47,0.233,48,41,1,0,0,2,0,"7DH/89",0,-0.7,54,144,133,15,22,4,0,5,15,0,1,9,32,0.165,0.215,0.308,0.524,47,0.233,48,41,1,0,0,2,0,1,"LF",35.7,1,7000000,7000000,10.052,66
"Albert Pujols","LAA","2012",4.8,154,670,607,85,173,50,0,30,105,8,1,52,76,0.285,0.343,0.516,0.859,138,0.366,136,313,19,5,0,6,16,"3D/5",2,4.8,154,670,607,85,173,50,0,30,105,8,1,52,76,0.285,0.343,0.516,0.859,138,0.366,136,313,19,5,0,6,16,1,"DH/1B",32.5,10,240000000,24000000,11,67
"Albert Pujols","LAA","2013",1.6,99,443,391,49,101,19,0,17,64,1,1,40,55,0.258,0.33,0.437,0.767,116,0.344,121,171,18,5,0,7,8,"D3",0,1.6,99,443,391,49,101,19,0,17,64,1,1,40,55,0.258,0.33,0.437,0.767,116,0.344,121,171,18,5,0,7,8,1,"DH/1B",33.5,10,240000000,24000000,12,67
"Albert Pujols","LAA","2014",3.9,159,695,633,89,172,37,1,28,105,5,1,48,71,0.272,0.324,0.466,0.79,126,0.354,130,295,28,5,0,9,11,"3D/5",2,3.9,159,695,633,89,172,37,1,28,105,5,1,48,71,0.272,0.324,0.466,0.79,126,0.354,130,295,28,5,0,9,11,1,"DH/1B",34.5,10,240000000,24000000,13,67
"Albert Pujols","LAA","2015",3.1,157,661,602,85,147,22,0,40,95,5,3,50,72,0.244,0.307,0.48,0.787,118,0.338,117,289,15,6,0,3,10,"3D/5",1,3.1,157,661,602,85,147,22,0,40,95,5,3,50,72,0.244,0.307,0.48,0.787,118,0.338,117,289,15,6,0,3,10,1,"DH/1B",35.5,10,240000000,24000000,14,67
"Albert Pujols","LAA","2016",1.5,152,650,593,71,159,19,0,31,119,4,0,49,75,0.268,0.323,0.457,0.78,113,0.339,113,271,24,2,0,6,6,"D3/H",0,1.5,152,650,593,71,159,19,0,31,119,4,0,49,75,0.268,0.323,0.457,0.78,113,0.339,113,271,24,2,0,6,6,1,"DH/1B",36.5,10,240000000,24000000,15,67
"Albert Pujols","LAA","2017",-2,149,636,593,53,143,17,0,23,101,3,0,37,93,0.241,0.286,0.386,0.672,80,0.288,72,229,26,2,0,4,5,"D/3H",0,-2,149,636,593,53,143,17,0,23,101,3,0,37,93,0.241,0.286,0.386,0.672,80,0.288,72,229,26,2,0,4,5,1,"DH/1B",37.5,10,240000000,24000000,16,67
"Albert Pujols","LAA","2018",0.2,117,498,465,50,114,20,0,19,64,1,0,28,65,0.245,0.289,0.411,0.7,91,0.314,95,191,12,2,0,3,3,"3D",0,0.2,117,498,465,50,114,20,0,19,64,1,0,28,65,0.245,0.289,0.411,0.7,91,0.314,95,191,12,2,0,3,3,1,"DH/1B",38.5,10,240000000,24000000,17,67
"Albert Pujols","LAA","2019",0.2,131,545,491,55,120,22,0,23,93,3,0,43,68,0.244,0.305,0.43,0.734,92,0.32,92,211,21,3,0,8,1,"3D/H5",0,0.2,131,545,491,55,120,22,0,23,93,3,0,43,68,0.244,0.305,0.43,0.734,92,0.32,92,211,21,3,0,8,1,1,"DH/1B",39.5,10,240000000,24000000,18,67
"Albert Pujols","LAA","2020",-0.1,39,163,152,15,34,8,0,6,25,0,0,9,25,0.224,0.27,0.395,0.665,79,0.283,70,60,4,1,0,1,1,"3D/H",0,-0.1,39,163,152,15,34,8,0,6,25,0,0,9,25,0.224,0.27,0.395,0.665,79,0.283,70,60,4,1,0,1,1,1,"DH/1B",40.5,10,240000000,24000000,19,67
"Albert Pujols","2TM","2021",-0.6,109,296,275,29,65,3,0,17,50,2,0,14,45,0.236,0.284,0.433,0.717,89,0.305,80,119,14,5,0,2,3,"3H/D5",0,-0.6,109,296,275,29,65,3,0,17,50,2,0,14,45,0.236,0.284,0.433,0.717,89,0.305,80,119,14,5,0,2,3,1,"DH/1B",41.5,10,240000000,24000000,20,67
"Albert Pujols","2TM","2021",-0.6,109,296,275,29,65,3,0,17,50,2,0,14,45,0.236,0.284,0.433,0.717,89,0.305,80,119,14,5,0,2,3,"3H/D5",0,-0.6,109,296,275,29,65,3,0,17,50,2,0,14,45,0.236,0.284,0.433,0.717,89,0.305,80,119,14,5,0,2,3,1,"DH/1B",41.5,1,570500,570500,20,68
"Albert Pujols","STL","2022",2.1,109,351,307,42,83,14,0,24,68,1,2,28,55,0.27,0.345,0.55,0.895,151,0.385,153,169,13,10,0,6,1,"DH3/1",1,2.1,109,351,307,42,83,14,0,24,68,1,2,28,55,0.27,0.345,0.55,0.895,151,0.385,153,169,13,10,0,6,1,1,"DH/1B",42.5,1,2500000,2500000,21,69
"Alcides Escobar","KCR","2018",-2.1,140,531,485,54,112,22,3,4,34,8,2,29,74,0.231,0.279,0.313,0.593,63,0.275,63,152,14,5,8,4,1,"65/84",0,-2.1,140,531,485,54,112,22,3,4,34,8,2,29,74,0.231,0.279,0.313,0.593,63,0.275,63,152,14,5,8,4,1,0,"SS",31.7,1,2500000,2500000,8.082,70
"Alcides Escobar","WSN","2021",1.6,75,349,319,53,92,21,2,4,28,3,0,17,56,0.288,0.34,0.404,0.744,105,0.33,104,129,2,9,2,2,0,"64",0,1.6,75,349,319,53,92,21,2,4,28,3,0,17,56,0.288,0.34,0.404,0.744,105,0.33,104,129,2,9,2,2,0,0,"SS",34.7,1,674990.669239509,674990.669239509,9.082,71
